Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol
W1Y239,A,WESBANCO - Upper Valley,1480 UPPER VALLEY PIKE ,SPRINGFIELD,OH,45504-4033,1480_UPPER_VALLEY_PIKE_
W1Y271,A,WESBANCO - Monfort Heights,5511 CHEVIOT RD ,CINCINNATI,OH,45247-7003,5511_CHEVIOT_RD_
W1Y294,A,WESBANCO - Harrison,10575 HARRISON AVE ,HARRISON,OH,45030-1943,10575_HARRISON_AVE_
W287X3,A,WESBANCO - Circleville,1210 N COURT ST ,CIRCLEVILLE,OH,43113-1000,1210_N_COURT_ST_
W29E25,A,WESBANCO - Johnson Ave.,1130 JOHNSON AVE ,BRIDGEPORT,WV,26330-1352,1130_JOHNSON_AVE_
W930H8,A,PNC - WESBANCO,500 1ST AVE ,PITTSBURGH,PA,15219-3128,500_1ST_AVE_
X378X7,A,WESBANCO  Akron LPO,1559 CORPORATE WOODS PKWY STE 350 ,UNIONTOWN,OH,44685-8025,1559_CORPORATE_WOODS_PKWY_STE_350_
X38W57,A,WESBANCO - Cinci LPO,250 E 5TH ST ,CINCINNATI,OH,45202-4119,250_E_5TH_ST_
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
